id,longitude,latitude,gps_height,subvillage,status_group
69572,34.93809275,-9.85632177,1390,Mnyusi B,0
8776,34.6987661,-2.14746569,1399,Nyamara,0
34310,37.46066446,-3.82132853,686,Majengo,0
67743,38.48616088,-11.15529772,263,Mahakamani,1
19728,31.13084671,-1.82535885,0,Kyanyamisa,0
9944,39.1727956,-4.76558728,0,Moa/Mwereme,0
19816,33.36240982,-3.76636472,0,Ishinabulandi,1
54551,32.62061707,-4.22619802,0,Nyawishi Center,1
53934,32.71110001,-5.14671181,0,Imalauduki,1
46144,30.62699053,-1.25705061,0,Mkonomre,0
49056,39.20951812,-7.03413939,62,Mizugo,0
50409,35.77025785,-10.57417468,1062,Ngondombwito,0
36957,33.79810612,-3.2901937999999995,0,Nkilifa,0
50495,37.09257412,-3.1817833,1368,Omarini,0
53752,34.36407268,-3.62933335,0,Mwabasabi,0
61848,31.44412134,-8.27496163,1645,Tunzi,0
48451,34.64243884,-9.10618458,1703,Kidudumo,1
58155,34.56926611,-9.08551497,1656,Yeriko,1
34169,32.92015381,-1.94786801,1162,Center,2
18274,34.50896732,-9.8944125,1763,Manyanya,0
48375,34.47342985,-9.59498965,2216,Majengo,0
6091,0.0,-2e-08,0,Ibabachegu,0
58500,34.58690108,-8.98001429,1510,Mkanivega,2
37862,37.94002949,-4.12559468,672,Mkonga Juu,0
51058,29.74706567,-4.49556758,1645,Msasa,0
22308,37.42275132,-3.31753648,1273,Kitereni,2
55012,39.37077651,-9.94253166,200,Shuleni,0
20145,31.10425712,-1.73536124,0,Chakahaya,0
19685,37.61112572,-3.2635263,1443,Kiyao,1
69124,37.06168837,-3.19198926,1256,Merali,0
46804,36.1083125,-5.79099991,0,Karume,0
6696,38.36355454,-6.63610419,180,Kudipera,0
57238,37.49233371,-3.29062725,1481,Mosheni,2
12402,34.47835586,-9.71590954,1638,Lupanga A,0
41583,39.81291224,-7.889986299999999,-41,Kilombero B,0
57355,36.61869946,-3.29300336,1546,Afya,1
67359,33.85434473,-9.63851993,0,Ndanganyika,1
60048,35.85837259,-4.6479063,0,Baura,0
16583,35.89026429,-8.22439872,1955,Mwanzala,0
25,30.6133054,-3.89456056,1348,Nyabwai B,1
70238,37.42002692,-3.47684942,710,Reli B,0
12796,33.92790176,-9.20464923,2469,Kilunduwe,0
52019,34.81457364,-9.03250291,1803,Sokoni,0
19282,34.96778863,-4.62892053,1642,Mwarufyu,1
1843,36.80607857,-3.47855934,1007,Marurani Juu,2
12958,33.34526033,-3.83899753,0,Isenegeja,1
45111,39.08741514,-11.00060373,240,Kachulu,2
13620,33.5406067,-9.17290468,0,Mpandapanda,0
18864,35.87141325,-8.22756303,1982,Mlandege Juu,0
25182,34.44128349,-9.18987766,2169,Ikanga,0
3228,37.37285829,-3.34929238,783,Msaranga Street,0
19308,32.04683486,-8.57166114,1545,Maporomoko,1
10745,33.95816322,-9.44812238,0,Isimba,0
32376,0.0,-2e-08,0,Center,1
9417,30.98302258,-1.68065404,0,Kagoye B,0
68724,37.34816881,-3.35653763,766,Dhobi Street,1
74197,37.47943592,-3.36819761,962,Msufini,0
22961,36.72112734,-3.33981163,1583,Soyekiutu,1
24593,35.56134607,-3.80687858,1703,Ants B,0
31714,31.45428168,-1.56388609,0,Izimbya 'A',2
29952,38.78943655,-5.11324963,190,Nairobi,0
40393,38.37667127,-4.6472894999999985,1670,Nkaloi,1
2127,29.66972029,-4.77975837,954,Kiganza Centre,2
8265,36.94745079,-3.35002587,1365,Ulkusare,1
67433,34.76272634,-4.30776106,1538,Mzimba,0
51072,34.62159801,-5.17313618,1415,Mfumbu,1
34255,34.89725735,-9.2035221,1788,Mahalule,0
22108,30.71609028,-1.2857798,0,Kihanga,1
4720,34.55789311,-8.88959406,1366,Iponda,1
54801,29.76800862,-4.47180947,1694,Kisoro,1
21990,35.81898147,-8.93495018,303,Mtakuja,1
17386,34.46222769,-8.57578037,0,Lembuka,1
41609,34.24718,-8.60751263,0,Mapinduzi,1
35715,34.657034499999995,-1.88801974,1565,Mtakuja,1
53970,30.41995839,-4.27996794,1153,Kalimungoma,0
62971,31.79687285,-1.35148627,0,Umkituri,1
63542,34.68047144,-9.3264772,2049,Usita,0
15622,36.93165941,-3.55703413,905,Komoro,0
12903,38.58082367,-4.8348356,406,Kulasi Majengo,1
52561,32.25500494,-3.36190077,0,Butimba,0
19415,34.28447604,-9.27156548,2328,Ikovo,0
65531,37.72295310000001,-7.02426273,427,Dongo,2
3675,36.75793224,-3.3747906000000003,1331,Moivaro,0
34383,33.53890869,-3.36161167,0,Bushoma,0
30423,34.19057512,-1.60969058,1185,Shule,1
68717,32.18551701,-2.37877187,0,Bulyahilu Center B,1
3688,35.73447433,-7.91231657,1701,Mlanda B,0
30537,31.55890304,-2.02646851,0,Kasharunga,1
27312,38.35356668,-6.63869562,159,Magwila,1
22143,35.87817211,-5.89186837,0,Juhudi,2
43237,29.67098869,-4.7268496,1002,Kilundo,2
62591,38.96294513,-10.47656619,212,Mwena,1
39920,38.89040167,-6.55790327,18,Shule,1
70892,35.51217404,-4.44803987,1560,Mara B,0
48593,31.45311103,-1.19438963,0,Mushasha,1
26419,30.21673046,-4.34106206,1471,Kitobo,0
68554,30.12668109,-4.23637808,1274,Kishiha,1
29083,33.0795039,-3.00965923,0,Misasi C,0
33379,35.54217277,-10.80885305,1000,Msewo Mwaazi,2
43206,33.23583842,-3.56601953,0,Madukani A,1
41743,39.04298326,-4.99423737,98,Kiruku Mchangamweupe,1
17970,34.56343795,-4.09374985,1128,Mashine,0
25693,30.65026741,-3.55486258,1352,Mlima Ndabaneze,0
39364,36.95075936,-11.31324316,701,Nguvumali,2
57580,37.17489041,-3.21646394,1409,Tema,0
23000,37.61640658,-3.56996907,744,Kwa Nyange,0
59902,33.69790014,-3.26949691,0,Malula,0
60371,31.767300899999995,-3.0251057,0,Maendeleo,1
74246,35.63048144,-7.71054858,1428,Kidete,1
7116,33.80508085,-9.1306743,0,Ipuguso,0
64063,36.90832887,-3.33074309,1295,Mseseweni,1
59983,36.87553547,-3.3445666,1207,Kiwawa,0
10784,31.48904738,-3.26790435,0,Nyansalala,0
49503,33.23267014,-9.26648533,0,Vimetu,0
54248,36.55702857,-6.37279744,0,Chang'Ombe,1
24409,31.66327256,-1.08048548,0,Kalamila,1
21068,37.48747402,-6.82950072,445,Mingo,0
62341,33.35647131,-2.06349369,1191,Kabarongo,1
10837,34.44864527,-2.02266257,1339,Mwebebonda,0
35458,37.02381013,-5.5923447,1348,Nendebe,1
36038,34.22303933,-9.3449213,2073,Ihela Shu,1
64447,31.57239755,-1.42926609,0,Ikongora,0
22897,31.4647567,-2.77016894,0,Majengo B,1
2915,36.77862138,-2.55618033,1302,Ewerendeke,0
